time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,attendance_date,day_number,school_type,num_schools,enrolments,present_sessions,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,enrolments_pa_10_exact
2021,Week 1,Regional,E92000001,England,E12000002,North West,,,,01/01/2021,1,Secondary,460,425574,51704278,0,4818477,3493768,1324709,0,57392513,25852139,25852139,51704278,0,2918913,177152,3049,1977,1294,9974,99390,268917,0,0,0,0,0,0,111438,60710,1085634,65232,869758,122423
2021,Week 1,Regional,E92000001,England,E12000002,North West,,,,01/01/2021,1,Special,169,18220,2134037,0,321902,248540,73362,0,2512141,1067018.5,1067018.5,2134037,0,143532,18970,140,0,73,4833,2900,64698,0,0,0,0,0,0,4614,3214,58586,2508,56202,7032
2021,Week 1,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01/01/2021,1,Special,2179,718998,87465176,0,6761327,4816317,1945010,0,95616782,43732588,43732588,87465176,0,3990346,225909,3586,2708,5729,33987,101277,426702,0,0,0,0,0,0,352642,70176,1449883,64987,1390279,172660
2021,Week 1,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01/01/2021,1,Primary,2095,708847,86332570,0,6594371,4685386,1908985,0,94289421,43166285,43166285,86332570,0,3909620,212651,3552,2707,5675,31457,100444,393226,0,0,0,0,0,0,349054,68931,1419912,63815,1362480,168851
2021,Week 1,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01/01/2021,1,PRU/Academy/Free school AP,1773,388915,48618360,0,2993830,2281552,712278,0,52336174,24309180,24309180,48618360,0,1942845,103902,2073,9,4444,26466,7536,168223,0,0,0,0,0,0,239790,47415,395733,22067,723984,76671
2021,Week 1,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01/01/2021,1,Secondary,322,319932,37714210,0,3600541,2403834,1196707,0,41953247,18857105,18857105,37714210,0,1966775,108749,1479,2698,1231,4991,92908,225003,0,0,0,0,0,0,109264,21516,1024179,41748,638496,92180
2021,Week 1,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01/01/2021,1,Special,84,10151,1132606,0,166956,130931,36025,0,1327361,566303,566303,1132606,0,80726,13258,34,1,54,2530,833,33476,0,0,0,0,0,0,3588,1245,29971,1172,27799,3809
2021,Week 1,Regional,E92000001,England,E12000004,East Midlands,,,,01/01/2021,1,Special,2017,620520,78290104,0,6020279,4729413,1290866,0,85678710,39145052,39145052,78290104,0,3958883,219800,11679,170,9741,28340,75310,416548,0,0,0,0,0,0,211764,67593,951079,54757,1368327,149608
2021,Week 1,Regional,E92000001,England,E12000004,East Midlands,,,,01/01/2021,1,Primary,1932,611082,77195221,0,5850587,4592279,1258308,0,84371879,38597610.5,38597610.5,77195221,0,3881045,207142,11621,64,9629,25983,74179,373674,0,0,0,0,0,0,209472,66616,922183,54364,1326071,145966
2021,Week 1,Regional,E92000001,England,E12000004,East Midlands,,,,01/01/2021,1,PRU/Academy/Free school AP,1643,336478,43422877,0,2713152,2202378,510774,0,46844803,21711438.5,21711438.5,43422877,0,1885868,91154,7947,19,6871,21119,7677,172781,0,0,0,0,0,0,153287,45988,289525,16301,708774,66734
2021,Week 1,Regional,E92000001,England,E12000004,East Midlands,,,,01/01/2021,1,Secondary,289,274604,33772344,0,3137435,2389901,747534,0,37527076,16886172,16886172,33772344,0,1995177,115988,3674,45,2758,4864,66502,200893,0,0,0,0,0,0,56185,20628,632658,38063,617297,79232
2021,Week 1,Regional,E92000001,England,E12000004,East Midlands,,,,01/01/2021,1,Special,85,9438,1094883,0,169692,137134,32558,0,1306831,547441.5,547441.5,1094883,0,77838,12658,58,106,112,2357,1131,42874,0,0,0,0,0,0,2292,977,28896,393,42256,3642
2021,Week 1,Regional,E92000001,England,E12000005,West Midlands,,,,01/01/2021,1,Special,2309,803508,98127950,0,7563151,5744666,1818485,0,107669931,49063975,49063975,98127950,0,4808650,250753,7221,5262,6708,37635,97988,485159,0,0,0,0,0,0,283150,99290,1376042,58152,1978830,194997
2021,Week 1,Regional,E92000001,England,E12000005,West Midlands,,,,01/01/2021,1,Primary,2188,788077,96404591,0,7299333,5534601,1764732,0,105612706,48202295.5,48202295.5,96404591,0,4675740,232732,7185,5180,6653,34612,94618,432609,0,0,0,0,0,0,278555,96121,1330879,57326,1908782,188886
2021,Week 1,Regional,E92000001,England,E12000005,West Midlands,,,,01/01/2021,1,PRU/Academy/Free school AP,1771,428940,53651702,0,3386564,2644250,742314,0,58126627,26825851,26825851,53651702,0,2284887,101520,4130,60,5591,26461,11826,203843,0,0,0,0,0,0,193464,61285,463956,22790,1088361,87866
2021,Week 1,Regional,E92000001,England,E12000005,West Midlands,,,,01/01/2021,1,Secondary,417,359137,42752889,0,3912769,2890351,1022418,0,47486079,21376444.5,21376444.5,42752889,0,2390853,131212,3055,5120,1062,8151,82792,228766,0,0,0,0,0,0,85091,34836,866923,34536,820421,101020
2021,Week 1,Regional,E92000001,England,E12000005,West Midlands,,,,01/01/2021,1,Special,121,15431,1723359,0,263818,210065,53753,0,2057225,861679.5,861679.5,1723359,0,132910,18021,36,82,55,3023,3370,52550,0,0,0,0,0,0,4595,3169,45163,826,70048,6111
2021,Week 1,Regional,E92000001,England,E12000006,East of England,,,,01/01/2021,1,Special,2488,805852,99895960,0,7710521,6147496,1563025,0,109564987,49947980,49947980,99895960,0,4729701,275291,7896,13237,15636,37362,80652,538704,0,0,0,0,0,0,213533,95614,1118181,45528,1958506,194665
2021,Week 1,Regional,E92000001,England,E12000006,East of England,,,,01/01/2021,1,Primary,2379,793557,98493707,0,7495657,5967495,1528162,0,107894039,49246853.5,49246853.5,98493707,0,4629670,258809,7819,13213,15516,33191,78065,487127,0,0,0,0,0,0,211317,93995,1090557,43543,1904675,189784
2021,Week 1,Regional,E92000001,England,E12000006,East of England,,,,01/01/2021,1,PRU/Academy/Free school AP,1989,434582,55120199,0,3549599,2905798,643801,0,59737379,27560099.5,27560099.5,55120199,0,2079510,101710,4890,60,11019,25912,10527,232827,0,0,0,0,0,0,152332,53765,334443,15041,1067581,87950
2021,Week 1,Regional,E92000001,England,E12000006,East of England,,,,01/01/2021,1,Secondary,390,358975,43373508,0,3946058,3061697,884361,0,48156660,21686754,21686754,43373508,0,2550160,157099,2929,13153,4497,7279,67538,254300,0,0,0,0,0,0,58985,40230,756114,28502,837094,101834
2021,Week 1,Regional,E92000001,England,E12000006,East of England,,,,01/01/2021,1,Special,109,12295,1402253,0,214864,180001,34863,0,1670948,701126.5,701126.5,1402253,0,100031,16482,77,24,120,4171,2587,51577,0,0,0,0,0,0,2216,1619,27624,1985,53831,4881
2021,Week 1,Regional,E92000001,England,E12000008,South East,,,,01/01/2021,1,Special,3289,1139274,140378399,0,10575175,8456780,2118395,0,153823589,70189199.5,70189199.5,140378399,0,7015738,415997,10735,32328,13374,55857,93853,756694,0,0,0,0,0,0,304390,139045,1585443,71451,2870015,266498
2021,Week 1,Regional,E92000001,England,E12000008,South East,,,,01/01/2021,1,Primary,3108,1118323,137985732,0,10219180,8165236,2053944,0,150990595,68992866,68992866,137985732,0,6848379,391471,10643,32328,13091,50205,89770,668819,0,0,0,0,0,0,301359,135481,1530164,69199,2785683,258275
2021,Week 1,Regional,E92000001,England,E12000008,South East,,,,01/01/2021,1,PRU/Academy/Free school AP,2600,619726,78481948,0,4837761,3977877,859884,0,84816896,39240974,39240974,78481948,0,3365348,168367,7150,219,7979,39698,11982,323115,0,0,0,0,0,0,227954,75939,515355,23246,1497187,120753
2021,Week 1,Regional,E92000001,England,E12000008,South East,,,,01/01/2021,1,Secondary,508,498597,59503784,0,5381419,4187359,1194060,0,66173699,29751892,29751892,59503784,0,3483031,223104,3493,32109,5112,10507,77788,345704,0,0,0,0,0,0,73405,59542,1014809,45953,1288496,137522
2021,Week 1,Regional,E92000001,England,E12000008,South East,,,,01/01/2021,1,Special,181,20951,2392667,0,355995,291544,64451,0,2832994,1196333.5,1196333.5,2392667,0,167359,24526,92,0,283,5652,4083,87875,0,0,0,0,0,0,3031,3564,55279,2252,84332,8223
2021,Week 1,Regional,E92000001,England,E12000009,South West,,,,01/01/2021,1,Special,2313,661553,79747464,0,6514622,5253406,1261216,0,87794927,39873732,39873732,79747464,0,4360377,247373,3202,526,7252,43632,73445,461131,0,0,0,0,0,0,184131,94657,907333,62860,1532841,171815
2021,Week 1,Regional,E92000001,England,E12000009,South West,,,,01/01/2021,1,Primary,2221,651273,78616556,0,6334132,5104004,1230128,0,86448096,39308278,39308278,78616556,0,4275061,236704,3192,526,7227,39770,71100,414692,0,0,0,0,0,0,182823,92774,880418,62225,1497408,167455
2021,Week 1,Regional,E92000001,England,E12000009,South West,,,,01/01/2021,1,PRU/Academy/Free school AP,1881,354565,44046559,0,2806756,2351387,455369,0,47663556,22023279.5,22023279.5,44046559,0,1984325,95972,2232,40,5095,31617,8025,178837,0,0,0,0,0,0,136667,52028,244367,13206,810241,73806
2021,Week 1,Regional,E92000001,England,E12000009,South West,,,,01/01/2021,1,Secondary,340,296708,34569997,0,3527376,2752617,774759,0,38784540,17284998.5,17284998.5,34569997,0,2290736,140732,960,486,2132,8153,63075,235855,0,0,0,0,0,0,46156,40746,636051,49019,687167,93649
2021,Week 1,Regional,E92000001,England,E12000009,South West,,,,01/01/2021,1,Special,92,10280,1130908,0,180490,149402,31088,0,1346831,565454,565454,1130908,0,85316,10669,10,0,25,3862,2345,46439,0,0,0,0,0,0,1308,1883,26915,635,35433,4360
2021,Week 1,Regional,E92000001,England,E13000001,Inner London,,,,01/01/2021,1,Special,941,354444,43951548,0,2853597,2046881,806716,0,47483399,21975774,21975774,43951548,0,1653148,131484,5448,3138,291,17516,33148,202708,0,0,0,0,0,0,114140,41203,588354,63019,678254,67362
2021,Week 1,Regional,E92000001,England,E13000001,Inner London,,,,01/01/2021,1,Primary,881,348827,43297646,0,2755851,1969040,786811,0,46715377,21648823,21648823,43297646,0,1607595,123250,5408,3136,256,16412,32488,180495,0,0,0,0,0,0,112937,40065,573853,59956,661880,65161
2021,Week 1,Regional,E92000001,England,E13000001,Inner London,,,,01/01/2021,1,PRU/Academy/Free school AP,701,191236,24243584,0,1426688,1062343,364345,0,26002194,12121792,12121792,24243584,0,881463,56271,3058,76,224,12994,2757,105500,0,0,0,0,0,0,80524,23110,243900,16811,331922,33933
2021,Week 1,Regional,E92000001,England,E13000001,Inner London,,,,01/01/2021,1,Secondary,180,157591,19054062,0,1329163,906697,422466,0,20713183,9527031,9527031,19054062,0,726132,66979,2350,3060,32,3418,29731,74995,0,0,0,0,0,0,32413,16955,329953,43145,329958,31228
2021,Week 1,Regional,E92000001,England,E13000001,Inner London,,,,01/01/2021,1,Special,60,5617,653902,0,97746,77841,19905,0,768022,326951,326951,653902,0,45553,8234,40,2,35,1104,660,22213,0,0,0,0,0,0,1203,1138,14501,3063,16374,2201
2021,Week 1,Regional,E92000001,England,E13000002,Outer London,,,,01/01/2021,1,Special,1513,714445,88087663,0,5776357,4393489,1382868,0,95098796,44043831.5,44043831.5,88087663,0,3633359,256299,30178,18300,3346,23102,53977,359846,0,0,0,0,0,0,213324,75983,1013467,73492,1234776,142118
2021,Week 1,Regional,E92000001,England,E13000002,Outer London,,,,01/01/2021,1,Primary,1420,703398,86821285,0,5586851,4238392,1348459,0,93604576,43410642.5,43410642.5,86821285,0,3544698,239002,29858,18230,3100,20040,52259,316123,0,0,0,0,0,0,211503,73281,985651,71422,1196440,137650
2021,Week 1,Regional,E92000001,England,E13000002,Outer London,,,,01/01/2021,1,PRU/Academy/Free school AP,1096,387672,48905122,0,2811245,2190616,620629,0,52352507,24452561,24452561,48905122,0,1865562,103498,18497,169,1538,15758,4735,168631,0,0,0,0,0,0,152861,36655,401823,23746,636140,68376
2021,Week 1,Regional,E92000001,England,E13000002,Outer London,,,,01/01/2021,1,Secondary,324,315726,37916163,0,2775606,2047776,727830,0,41252069,18958081.5,18958081.5,37916163,0,1679136,135504,11361,18061,1562,4282,47524,147492,0,0,0,0,0,0,58642,36626,583828,47676,560300,69274
2021,Week 1,Regional,E92000001,England,E13000002,Outer London,,,,01/01/2021,1,Special,93,11047,1266378,0,189506,155097,34409,0,1494220,633189,633189,1266378,0,88661,17297,320,70,246,3062,1718,43723,0,0,0,0,0,0,1821,2702,27816,2070,38336,4468
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,01/01/2021,1,Special,1,209,27120,0,1094,885,209,0,28240,13560,13560,27120,0,770,48,6,0,1,0,0,60,0,0,0,0,0,0,0,5,204,0,26,22
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,01/01/2021,1,Primary,1,209,27120,0,1094,885,209,0,28240,13560,13560,27120,0,770,48,6,0,1,0,0,60,0,0,0,0,0,0,0,5,204,0,26,22
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,01/01/2021,1,PRU/Academy/Free school AP,1,209,27120,0,1094,885,209,0,28240,13560,13560,27120,0,770,48,6,0,1,0,0,60,0,0,0,0,0,0,0,5,204,0,26,22
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,01/01/2021,1,Special,53,17378,2123039,0,164862,127390,37472,0,2313915,1061519.5,1061519.5,2123039,0,103424,7839,487,3,8,1486,1468,12675,0,0,0,0,0,0,3455,2297,28202,3518,26014,4152
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,01/01/2021,1,Primary,50,17098,2093264,0,157079,122763,34316,0,2276009,1046632,1046632,2093264,0,100252,7410,481,1,6,1379,1446,11788,0,0,0,0,0,0,3297,1676,25997,3346,25666,3984
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,01/01/2021,1,PRU/Academy/Free school AP,40,8995,1122573,0,72866,58512,14354,0,1212531,561286.5,561286.5,1122573,0,47382,3037,353,0,5,1206,70,6459,0,0,0,0,0,0,2247,995,10350,762,17092,1857
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,01/01/2021,1,Secondary,10,8103,970691,0,84213,64251,19962,0,1063478,485345.5,485345.5,970691,0,52870,4373,128,1,1,173,1376,5329,0,0,0,0,0,0,1050,681,15647,2584,8574,2127
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,01/01/2021,1,Special,3,280,29775,0,7783,4627,3156,0,37906,14887.5,14887.5,29775,0,3172,429,6,2,2,107,22,887,0,0,0,0,0,0,158,621,2205,172,348,168
2021,Week 1,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,01/01/2021,1,Special,83,36652,4507093,0,287580,187908,99672,0,4856044,2253546.5,2253546.5,4507093,0,144318,12401,664,2664,72,997,3697,16032,0,0,0,0,0,0,8279,4838,74637,6928,61371,6830
2021,Week 1,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,01/01/2021,1,Primary,79,36166,4448629,0,279933,181169,98764,0,4789100,2224314.5,2224314.5,4448629,0,140041,11418,644,2664,72,743,3504,15020,0,0,0,0,0,0,8279,4787,73804,6904,60538,6648
2021,Week 1,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,01/01/2021,1,PRU/Academy/Free school AP,63,20607,2610967,0,138451,94159,44292,0,2785216,1305483.5,1305483.5,2610967,0,73431,4866,479,0,44,550,259,7467,0,0,0,0,0,0,6046,1664,30252,1340,35798,3308
2021,Week 1,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,01/01/2021,1,Secondary,16,15559,1837662,0,141482,87010,54472,0,2003884,918831,918831,1837662,0,66610,6552,165,2664,28,193,3245,7553,0,0,0,0,0,0,2233,3123,43552,5564,24740,3340
2021,Week 1,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,01/01/2021,1,Special,4,486,58464,0,7647,6739,908,0,66944,29232,29232,58464,0,4277,983,20,0,0,254,193,1012,0,0,0,0,0,0,0,51,833,24,833,182
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,01/01/2021,1,Special,77,28222,3499187,0,220270,158186,62084,0,3774740,1749593.5,1749593.5,3499187,0,128288,8786,768,4,22,1555,4914,13849,0,0,0,0,0,0,6245,2297,48915,4627,55283,5197
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,01/01/2021,1,Primary,74,27840,3453429,0,215328,154597,60731,0,3722935,1726714.5,1726714.5,3453429,0,125781,8265,768,4,22,1483,4910,13364,0,0,0,0,0,0,6147,2297,47661,4626,54178,5085
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,01/01/2021,1,PRU/Academy/Free school AP,58,15335,1954016,0,105602,83552,22050,0,2085707,977008,977008,1954016,0,69505,3687,176,1,22,1265,230,8666,0,0,0,0,0,0,4473,778,15181,1618,26089,2416
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,01/01/2021,1,Secondary,16,12505,1499413,0,109726,71045,38681,0,1637228,749706.5,749706.5,1499413,0,56276,4578,592,3,0,218,4680,4698,0,0,0,0,0,0,1674,1519,32480,3008,28089,2669
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,01/01/2021,1,Special,3,382,45758,0,4942,3589,1353,0,51805,22879,22879,45758,0,2507,521,0,0,0,72,4,485,0,0,0,0,0,0,98,0,1254,1,1105,112
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,01/01/2021,1,Special,52,16175,1968958,0,128329,102208,26121,0,2134380,984479,984479,1968958,0,80410,7504,76,4,0,395,2107,11712,0,0,0,0,0,0,3217,815,20561,1528,37093,3043
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,01/01/2021,1,Primary,47,15622,1903683,0,119211,94826,24385,0,2057820,951841.5,951841.5,1903683,0,76088,6592,76,4,0,376,1996,9694,0,0,0,0,0,0,3173,783,19459,970,34926,2832
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,01/01/2021,1,PRU/Academy/Free school AP,36,7806,981893,0,55300,43681,11619,0,1059764,490946.5,490946.5,981893,0,35822,2583,52,4,0,225,134,4861,0,0,0,0,0,0,2815,605,8060,139,22571,1229
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,01/01/2021,1,Secondary,11,7816,921790,0,63911,51145,12766,0,998056,460895,460895,921790,0,40266,4009,24,0,0,151,1862,4833,0,0,0,0,0,0,358,178,11399,831,12355,1603
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,01/01/2021,1,Special,5,553,65275,0,9118,7382,1736,0,76560,32637.5,32637.5,65275,0,4322,912,0,0,0,19,111,2018,0,0,0,0,0,0,44,32,1102,558,2167,211
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,01/01/2021,1,Special,61,19196,2372386,0,170359,117647,52712,0,2584570,1186193,1186193,2372386,0,93130,7809,259,6,69,714,2795,12865,0,0,0,0,0,0,5136,2426,43877,1273,41825,4017
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,01/01/2021,1,Primary,55,18795,2325179,0,163099,111551,51548,0,2529620,1162589.5,1162589.5,2325179,0,89883,7027,259,6,69,632,2785,10890,0,0,0,0,0,0,5038,2424,42841,1245,41342,3842
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,01/01/2021,1,PRU/Academy/Free school AP,45,10972,1395667,0,83480,60617,22863,0,1505934,697833.5,697833.5,1395667,0,50265,3940,149,2,69,489,308,5395,0,0,0,0,0,0,3852,1747,16439,825,26787,1977
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,01/01/2021,1,Secondary,10,7823,929512,0,79619,50934,28685,0,1023686,464756,464756,929512,0,39618,3087,110,4,0,143,2477,5495,0,0,0,0,0,0,1186,677,26402,420,14555,1865
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,01/01/2021,1,Special,6,401,47207,0,7260,6096,1164,0,54950,23603.5,23603.5,47207,0,3247,782,0,0,0,82,10,1975,0,0,0,0,0,0,98,2,1036,28,483,175
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,01/01/2021,1,Special,35,11022,1347209,0,85800,65486,20314,0,1459339,673604.5,673604.5,1347209,0,51709,5314,94,0,1,317,977,7074,0,0,0,0,0,0,2468,1459,15452,935,26330,2028
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,01/01/2021,1,Primary,33,10896,1331813,0,84053,64201,19852,0,1442099,665906.5,665906.5,1331813,0,51191,5161,94,0,1,295,973,6486,0,0,0,0,0,0,2468,1458,15446,480,26233,1984
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,01/01/2021,1,PRU/Academy/Free school AP,27,5775,719181,0,43492,34000,9492,0,772653,359590.5,359590.5,719181,0,27603,2048,60,0,1,229,76,3983,0,0,0,0,0,0,1757,787,6494,454,9980,1035
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,01/01/2021,1,Secondary,6,5121,612632,0,40561,30201,10360,0,669446,306316,306316,612632,0,23588,3113,34,0,0,66,897,2503,0,2,0,0,0,0,711,671,8952,26,16253,949
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,01/01/2021,1,Special,2,126,15396,0,1747,1285,462,0,17240,7698,7698,15396,0,518,153,0,0,0,22,4,588,0,0,0,0,0,0,0,1,6,455,97,44
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,01/01/2021,1,Special,85,30123,3749382,0,249068,174854,74214,0,4049459,1874691,1874691,3749382,0,138531,11502,103,13,5,1689,2804,20207,0,0,0,0,0,0,7387,6652,50787,9388,51009,5905
2021,Week 1,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,01/01/2021,1,Primary,79,29612,3686837,0,241323,168949,72374,0,3978219,1843418.5,1843418.5,3686837,0,134377,10926,103,13,5,1599,2677,19249,0,0,0,0,0,0,7369,6621,49482,8902,50059,5747
